id,title,body,department,sentiment
8ba4bd13-19eb-457b-ad19-12289117b9ee,Esperienza culinaria negativa,Cibo poco appetibile e mal presentato. Bleah,F&B,negative
ffc8eb11-f7a9-40bf-bbe3-4d52cacb7678,Disordine all'arrivo,Stanza disordinata e sporca al mio arrivo. Non ci tornerò.,Housekeeping,negative
f6cdbaa4-adf0-4e3c-82b5-63159006c5b6,Pulizie quotidiane perfette,Pulizie quotidiane accurate e precise.,Housekeeping,positive
283b9b16-3e40-4b7b-8267-76267951729b,Problemi al check-in,Check-in molto disorganizzato e caotico.,Reception,negative
2e943fa3-04db-4c34-887f-9ec43ba21c52,Ristorante lento,Ristorante lento e disorganizzato.,F&B,negative
4025eeec-f5fb-46f5-b992-88ea8bcbebf3,Personale disponibile,Aiuto immediato per ogni richiesta.,Reception,positive
b9590e49-7867-4c4a-a7db-42b95c10f19b,Pessima cucina,"Servizio confuso e disorganizzato, non consiglierei questo posto.",F&B,negative
35053d58-a163-416e-8283-dcaec66d808b,Reception impeccabile,"Servizio rapido e preciso, ottima esperienza! Torneremo volentieri.",Reception,positive
5446be06-b93b-4319-9d6f-4d7a12a51bc6,Stanza confortevole,"Stanza confortevole, perfettamente curata.",Housekeeping,positive
2ea6e69a-728d-4f82-b70b-a90ab3b74f6e,Reception oscena,Tempi di attesa lunghissimi e personale arrogante.,Reception,negative
ac47cbac-0fed-4265-95ef-ee19891c3fd3,Maleducazione del personale,Reception inefficiente e mal organizzata. Ci abbiamo messo ore per entrare in camera.,Reception,negative
5fa6a81d-ff95-4684-9796-b1222a16aa47,Reception oscena,Tempi di attesa lunghissimi e personale arrogante.,Reception,negative
927aac74-fb2c-495c-aeeb-60745dfd4a0a,Pulizie quotidiane perfette,Pulizie quotidiane accurate e precise.,Housekeeping,positive
e8eecc36-78a7-422e-bbc9-71bb04704d30,Menù vario e gustoso,Menù molto vario e soddisfacente. Che buono.,F&B,positive
91ef9f7e-41e0-47c1-88ce-95a464b1edd4,Pulizie superficiali,"Pulizie superficiali, niente è a posto.",Housekeeping,negative
3af370aa-c971-4f08-b233-7f707a2342a7,Esperienza culinaria perfetta,"Ottima esperienza culinaria, tutto delizioso.",F&B,positive
61c2db1f-7077-45f5-b550-0b7a516be7ae,Colazione eccellente,Colazione abbondante e variegata.,F&B,positive
0a653532-f5ac-4a99-9381-69e67a445059,Staff accogliente,Reception sempre pronta ad aiutare con un sorriso.,Reception,positive
b3df5820-b79b-49a8-9230-1fe81ae58098,Ottimo,Reception cordiale.,Reception,positive
4ef58ac8-f735-4440-bb5b-6e89bb79e018,Pulizie quotidiane perfette,Pulizie quotidiane accurate e precise.,Housekeeping,positive
6afff11a-dd81-4a53-abcb-c06a49b0285d,Esperienza culinaria negativa,Cibo poco appetibile e mal presentato. Bleah,F&B,negative
78253a39-909b-4bac-87d1-b8bf2f0fded2,Personale ok,Il personale è stato gentile ma la camera non era ancora pronta.,Reception,positive
72c53abd-1c68-41a2-8035-f8033cf856cc,Pulizia eccellente,"Lenzuola fresche e profumate, ottima pulizia.",Housekeeping,positive
c6d72101-b7b3-454d-aab0-4497d8618fa8,Esperienza positiva,"Reception efficiente, check-out senza attese.",Reception,positive
fb9b6748-c5ff-49ae-a090-cccda8c28b22,Check-in veloce,Check-in rapido e staff gentile e disponibile.,Reception,positive
bec4365f-29b9-4857-aee0-188ac5b477cb,Servizio eccellente,"Personale cortese, molto professionale.",Reception,positive
7ecec384-eff6-49e2-a594-8f756c2fbeb6,Staff del ristorante cordiale,Staff del ristorante cordiale e professionale.,F&B,positive
f31e9b9d-4b79-4b17-ae16-f1d25ae27bf3,Reception impeccabile,"Servizio rapido e preciso, ottima esperienza! Torneremo volentieri.",Reception,positive
82051c7b-5f47-4355-8c5a-2646eccc8374,Cibo pessimo,Il cibo aveva un sapore terribile.,F&B,negative
